Deletions-1610_A09_s1.TIF	0	101	192	280	369	460	550	640	
Deletions-1610_A09_s20.TIF	0	101	191	279	369	459	549	640	
Deletions-1610_A09_s21.TIF	0	101	191	279	369	459	549	640	
Deletions-1610_A09_s22.TIF	0	101	191	280	369	459	549	640	
Deletions-1610_A09_s23.TIF	0	101	191	280	369	459	549	640	
Deletions-1610_A09_s24.TIF	0	101	191	280	369	459	550	640	
Deletions-1610_A09_s25.TIF	0	101	191	280	369	459	550	640	
Deletions-1610_A09_s26.TIF	0	101	191	280	369	459	550	640	
Deletions-1610_A09_s2.TIF	0	101	192	280	369	460	550	640	
Deletions-1610_A09_s3.TIF	0	101	192	280	369	460	550	640	
Deletions-1610_A09_s4.TIF	0	101	192	280	369	460	550	640	
Deletions-1610_A09_s5.TIF	0	102	192	280	369	460	550	640	
Deletions-1610_A09_s6.TIF	0	102	192	280	369	460	550	641	
Deletions-1610_A09_s7.TIF	0	102	192	280	369	460	550	641	
Deletions-1610_A09_s8.TIF	0	102	192	280	369	460	550	641	
Deletions-1610_A09_s9.TIF	0	102	192	280	369	460	550	641	
Deletions-1610_A10_s10.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A10_s11.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A10_s12.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A10_s13.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A10_s14.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A10_s15.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A10_s16.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A10_s17.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A10_s18.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A10_s19.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A10_s1.TIF	0	103	193	281	370	460	550	641	
Deletions-1610_A10_s20.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A10_s21.TIF	0	103	194	281	370	461	551	642	
Deletions-1610_A10_s22.TIF	0	103	194	281	370	461	551	642	
Deletions-1610_A10_s23.TIF	0	103	194	282	370	461	551	642	
Deletions-1610_A10_s24.TIF	0	103	194	282	370	461	551	642	
Deletions-1610_A10_s25.TIF	0	103	194	282	370	461	551	642	
Deletions-1610_A10_s26.TIF	0	103	193	281	370	460	550	641	
Deletions-1610_A10_s2.TIF	0	103	193	281	370	460	551	641	
Deletions-1610_A10_s3.TIF	0	103	193	281	370	461	551	641	
Deletions-1610_A10_s4.TIF	0	103	193	281	370	461	551	641	
Deletions-1610_A10_s5.TIF	0	103	193	281	370	461	551	641	
Deletions-1610_A10_s6.TIF	0	103	193	281	370	461	551	641	
Deletions-1610_A10_s7.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A10_s8.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A10_s9.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A11_s10.TIF	0	103	193	281	370	461	551	641	
Deletions-1610_A11_s11.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A11_s12.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A11_s13.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A11_s14.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A11_s15.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A11_s16.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A11_s17.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A11_s18.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A11_s19.TIF	0	103	193	281	370	461	551	642	
